id;Name;Name on Shirt;Nationality;Height(cm);Weight(Kg);Stronger foot;Favorite side;Reg. Pos.;Positions;Injury;Attack;Defence;Body balance;Stamina;Top speed;Responsiveness;Explosive power;Dribble accuracy;Dribble speed;Short pass accuracy;Short pass speed;Long pass accuracy;Long pass speed;Shot accuracy;Shot power;Free kick accuracy;Swerve;Header Accuracy;Jump;Ball control;Mentality;Keeper skills;Teamwork;Form;Weak foot accuracy;Weak foot frequency;P01 Classic No.10;P02 Anchor Man;P03 Trickster;P04 Darting Run;P05 Mazing Run;P06 Pinpoint Pass;P07 Early Cross;P08 Box to Box;P09 Cut Back Pass;P10 Incisive Run;P11 Long Ranger;P12 Enforcer;P13 Goal Poacher;P14 Dummy Runner;P15 Free Roaming;P16 Extra Attacker;P17 Chasing Back;P18 Talisman;P19 Fox in the Box;P20 Track Back;P21 Offensive Fullback;P22 180 Drag;P23 Flick(Sombrero);H01 Attack Minded;H02 Defence Master;S01 Weighted Pass;S02 Double Touch;S03 Run Around;S04 PK Taker;S05 1-touch play;S06 Outside Curve;S07 Lunging Tackle;S08 Diving Header;S09 Covering;S10 GK Long Throw;S11 Penalty Saver;S12 1-on-1 Keeper;S13 Long Throw;S14 Speed Merchant;S15 Shoulder Feint Skills;S16 Roulette Skills;S17 Flip Flap Skills;S18 Turning Skills;S19 Scissors Skills;S20 Flicking Skills;S21 Step On Skills;S22 Deft Touch Skills;S23 Super-Sub;S24 Long Range Drive;S25 Flip Flap Skills;S26 Jumping Volley;S27 Scissor Kick;S28 Knuckle Shot;S29 Heel Flick
804;BELLAMY;BELLAMY;Wales;173;70;R;R;LWF; LMF RMF LWF RWF SS CF;1;83;49;82;87;93;82;94;83;92;76;77;77;78;78;84;76;82;69;83;83;83;45;76;5;6;6;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
816;STANLEY MATTHEWS;S. MATTHEWS;England;175;71;R;R;RWF; RMF AMF RWF SS;2;87;49;79;88;90;88;96;97;90;89;83;95;85;83;83;82;86;72;74;96;89;40;89;8;6;5;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
820;NEIL FRANKLIN;N. FRANKLIN;England;180;74;R;R;CB; CB;1;63;93;85;84;82;92;83;77;78;82;78;77;78;66;79;65;70;84;92;80;87;50;91;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
821;PHIL NEVILLE;P. NEVILLE;England;180;76;R;R;RB; LB RB DMF;2;75;80;81;88;78;84;78;78;78;78;77;82;80;67;80;68;73;78;78;77;88;50;86;7;6;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
822;GERRARD;GERRARD;England;183;79;R;R;CMF; DMF CMF LMF RMF AMF SS;1;83;72;86;93;84;85;83;84;85;89;94;91;95;83;95;84;81;78;79;88;93;50;91;8;7;6;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
826;JOE COLE;J. COLE;England;175;73;R;R;LMF; LMF RMF AMF LWF RWF SS;0;81;54;79;86;82;78;87;91;85;83;80;82;81;81;82;73;81;67;77;89;77;40;75;5;5;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0
852;IKER CASILLAS;CASILLAS;Spain;185;79;L;R;GK; GK;2;31;93;84;69;75;97;86;54;58;59;60;52;65;45;83;45;50;50;90;56;87;93;80;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
856;MANUEL PABLO;M. PABLO;Spain;176;78;R;R;RB; LB RB;2;76;72;81;93;86;81;85;80;83;77;79;82;83;69;84;66;74;78;86;80;81;50;84;7;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
865;GERARD PIQUÉ;PIQUE;Spain;192;85;R;R;CB; CWP CB;1;74;89;87;83;82;87;77;81;75;83;85;86;88;71;80;67;69;84;83;82;82;50;84;7;6;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
866;XAVI HERNÁNDEZ;XAVI;Spain;170;68;R;R;CMF; DMF CMF AMF;2;86;70;79;91;77;82;85;91;80;98;95;93;85;80;79;84;85;71;75;95;85;40;98;7;6;5;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
925;AMARILDO;AMARILDO;Brazil;169;68;L;R;SS; AMF LWF SS CF;1;88;42;79;83;89;85;94;92;92;83;79;83;82;86;86;86;88;83;83;92;78;50;80;6;6;6;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
935;M. CARRERA;CARRERA;Italy;181;74;L;R;CWP; CWP CB LB RB;1;64;85;84;84;82;85;83;75;78;79;80;75;78;68;83;68;71;82;85;77;90;50;85;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
970;BIAVATI;BIAVATI;Italy;172;74;R;R;RWF; RWF;1;86;39;80;82;84;78;87;93;84;84;77;89;80;84;82;76;77;69;74;90;79;40;81;6;4;4;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
977;AMBROSINI;AMBROSINI;Italy;182;73;R;R;DMF; CB DMF CMF;1;66;79;84;90;81;83;79;76;75;79;81;78;79;71;80;68;67;87;86;78;87;50;92;7;7;6;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
983;G. BUFFON;BUFFON;Italy;192;85;R;R;GK; GK;1;30;95;89;69;74;97;84;63;60;64;66;65;68;46;86;45;48;55;88;60;90;96;85;8;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1001;TOMÁS ROSICKÝ;ROSICKY;Czech Republic;178;67;R;R;AMF; CMF LMF RMF AMF;1;82;62;77;84;85;82;86;88;86;91;90;87;86;79;85;83;87;72;78;91;81;40;84;5;6;5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
1036;MICHAEL LAUDRUP;LAUDRUP;Denmark;182;79;R;R;AMF; AMF SS;1;87;52;84;83;84;83;86;94;88;99;90;95;85;83;86;84;86;78;79;96;78;45;89;6;7;7;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
1066;JOHN ARNE RIISE;RIISE;Norway;188;80;L;R;LB; LB LMF;2;78;68;86;94;85;81;85;78;84;75;83;79;92;76;95;82;78;76;78;79;83;50;82;8;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1070;T. A. FLO;FLO;Norway;193;86;R;R;CF; CF;1;87;50;88;85;80;86;79;84;77;75;79;71;74;84;86;68;70;87;79;87;79;45;82;6;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1075;P. ANDERSSON;ANDERSSON;Sweden;186;86;R;R;CB; CWP CB;1;61;92;93;81;76;86;72;73;70;78;76;80;77;65;85;75;72;85;84;76;82;50;83;7;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1086;JONAS THERN;J. THERN;Sweden;182;79;R;R;CMF; DMF CMF AMF;1;75;79;84;86;82;84;82;84;82;85;82;83;81;77;86;76;78;79;81;85;86;50;87;6;6;6;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1104;MIKA LIPPONEN;LIPPONEN;Finland;173;70;R;R;CF; SS CF;1;86;36;79;85;84;87;85;83;84;75;73;70;73;85;83;69;73;76;77;84;84;50;77;6;6;6;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1115;JÄÄSKELÄINEN;JAASKELAINEN;Finland;191;82;R;R;GK; GK;1;30;87;84;71;72;92;78;50;55;56;65;66;73;45;84;45;48;55;85;56;79;88;72;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1182;FERENC PLATTKÓ;PLATTKO;Hungary;188;84;R;R;GK; GK;2;31;87;87;69;73;94;80;64;53;57;56;66;71;45;80;45;45;55;84;59;85;90;80;7;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1225;VLADIMIR BEARA;V. BEARA;Croatia;184;82;R;R;GK; GK;1;30;92;88;69;68;97;89;52;54;57;60;62;66;45;88;44;50;50;96;53;85;95;87;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1255;ISTVÁN NYERS;NYERS;Hungary;174;72;R;R;CF; LWF SS CF;1;92;38;80;83;89;87;92;87;89;79;77;81;78;89;88;75;78;87;87;86;81;50;77;7;7;8;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1275;BERNARDO SILVA;B. SILVA;Portugal;173;65;L;R;RWF; CMF LMF RMF AMF LWF RWF SS;1;84;58;77;91;78;78;86;94;90;86;79;86;78;84;79;76;83;67;69;93;82;40;84;7;5;4;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1287;ADRIAN MUTU;MUTU;Romania;180;75;R;R;SS; LMF RMF AMF LWF RWF SS CF;1;87;46;81;84;87;85;88;87;85;82;80;83;82;85;85;87;87;82;81;90;81;50;79;7;7;5;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0
1308;STILIYAN PETROV;PETROV;Bulgaria;180;77;L;R;DMF; DMF CMF LMF RMF AMF;1;73;73;81;88;80;83;81;83;84;83;82;81;83;78;85;78;79;75;78;83;83;45;83;7;6;6;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1310;DWIGHT YORKE;YORKE;Trinidad and Tobago;178;77;R;R;CF; SS CF;1;91;42;82;83;85;92;86;83;86;80;78;76;76;88;80;76;78;91;93;84;78;50;85;7;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1322;THOMAS MAVROS;MAVROS;Greece;177;71;L;R;CF; LWF SS CF;2;91;42;80;84;87;89;92;87;87;81;78;76;79;90;87;79;78;88;88;87;82;50;79;7;7;6;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
1328;KARAGOUNIS;KARAGOUNIS;Greece;176;74;R;R;AMF; CMF LMF RMF AMF;2;78;62;76;86;80;80;84;85;83;84;82;83;80;78;84;83;83;74;75;85;84;40;83;7;5;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1352;TUGAY KERIMOĞLU;TUGAY;Turkey;176;73;R;R;DMF; DMF CMF;1;76;78;83;85;78;86;78;85;80;87;85;88;87;76;88;77;77;73;76;85;87;40;87;6;6;6;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1453;AHMED HASSAN;A. HASSAN;Egypt;178;70;R;R;CMF; DMF CMF AMF;1;79;61;81;88;81;82;82;84;83;85;84;85;83;81;86;79;82;68;78;85;86;45;88;7;5;5;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1466;AHMED SHOBAIR;SHOBAIR;Egypt;180;78;R;R;GK; GK;1;30;88;87;68;67;88;83;54;53;60;57;67;62;54;87;47;49;55;89;60;86;90;80;6;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1498;SAMUEL ETO'O;ETOO;Cameroon;180;76;R;R;CF; LWF RWF SS CF;1;92;51;85;94;94;88;95;86;90;80;81;76;76;90;89;77;81;81;83;87;88;50;81;8;6;6;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1601;MIGUEL ESCOBAR;ESCOBAR;Colombia;176;76;L;R;CB; CWP CB;1;60;90;84;87;78;88;81;76;77;79;75;79;76;74;81;69;72;86;88;81;85;50;91;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1621;DIDA;DIDA;Brazil;195;85;L;R;GK; GK;1;30;87;89;68;67;93;76;50;51;53;62;61;64;45;86;44;46;46;85;52;82;91;76;7;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1633;LÚCIO;LUCIO;Brazil;188;84;R;R;CB; CWP CB;1;70;92;91;86;83;90;80;79;83;76;79;75;78;69;88;73;72;87;82;77;90;50;84;8;5;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1638;ZÉ ROBERTO;ZE ROBERTO;Brazil;172;67;L;R;LMF; LB CMF LMF AMF LWF;2;83;69;77;94;90;80;92;88;87;82;83;87;84;80;83;82;86;71;80;88;83;45;88;8;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
1639;ALEX;ALEX;Brazil;176;72;L;R;AMF; AMF SS;1;87;40;78;80;80;79;83;92;83;94;84;90;84;85;85;90;93;79;76;93;79;40;89;6;6;4;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1642;ROGÉRIO CENI;R. CENI;Brazil;188;86;R;R;GK; GK;2;47;88;85;73;74;93;82;72;74;72;75;82;82;70;85;94;91;47;85;76;94;89;86;8;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1653;VALERIANO LÓPEZ;V. LOPEZ;Peru;188;83;R;R;CF; CF;2;95;38;90;81;80;91;81;79;80;72;72;70;71;90;93;71;69;96;90;81;75;50;75;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1668;LUIS EYZAGUIRRE;EYZAGUIRRE;Chile;175;73;R;R;RB; RB RMF;2;77;76;80;91;87;83;85;84;84;82;78;83;81;70;82;71;77;72;79;84;83;50;84;8;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
1697;SANTA CRUZ;SANTA CRUZ;Paraguay;192;86;R;R;CF; AMF SS CF;1;86;45;87;83;84;87;84;84;83;77;77;75;77;85;85;69;76;87;82;85;81;50;83;7;6;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1732;RICARDO VAGHI;VAGHI;Argentina;183;78;R;R;CB; CB;2;63;89;86;79;76;85;75;74;70;73;71;72;71;61;81;59;59;76;84;76;93;50;82;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1747;PABLO AIMAR;AIMAR;Argentina;170;65;R;R;AMF; AMF SS;1;83;54;75;81;83;80;88;91;87;91;85;85;81;80;83;84;84;72;83;93;74;50;83;6;6;5;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1845;HARRY KEWELL;KEWELL;Australia;180;73;L;R;LMF; LMF AMF LWF RWF SS;1;84;45;79;83;87;78;89;91;83;83;80;85;80;85;86;83;86;79;85;89;69;50;74;5;6;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1854;BRETT EMERTON;EMERTON;Australia;185;83;R;R;RMF; RB CMF RMF AMF RWF;2;78;66;84;87;83;80;82;86;81;79;80;82;83;73;82;78;80;73;76;83;83;50;79;6;5;5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1894;EDDIE HAPGOOD;HAPGOOD;England;178;75;L;R;LB; CB LB;1;66;87;87;87;83;84;81;82;78;79;78;82;80;67;82;68;68;86;87;81;90;50;85;7;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
